word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
résoudre,to solve,FR,school_jobs_future,learning_work_verbs,verb,KS3,J'aime résoudre des problèmes.,I like to solve problems.,,,résoudre,,
travailler,to work,FR,school_jobs_future,learning_work_verbs,verb,KS3,Je travaille dur sur mes devoirs.,I work hard on my homework.,,,travailler,,
ehrgeizig,ambitious,DE,school_jobs_future,qualities_skills,adjective,KS3,Er/Sie ist ein ehrgeiziger/ehrgeizige Schüler/in.,He/She is an ambitious student.,,,ehrgeizig,,
kreativ,creative,DE,school_jobs_future,qualities_skills,adjective,KS3,Er/Sie ist ein kreativer Designer/eine kreative Designerin.,He/She is a creative designer.,,,kreativ,,
fleißig,diligent / hardworking,DE,school_jobs_future,qualities_skills,adjective,KS3,Er/Sie ist ein fleißiger Schüler/eine fleißige Schülerin.,He/She is a diligent student.,,,fleißig,,
flexibel,flexible,DE,school_jobs_future,qualities_skills,adjective,KS3,Wir brauchen einen flexiblen Zeitplan.,We need a flexible schedule.,,,flexibel,,
intelligent,intelligent,DE,school_jobs_future,qualities_skills,adjective,KS3,Sie ist ein sehr intelligentes Mädchen.,She is a very intelligent girl.,,,intelligent,,
motiviert,motivated,DE,school_jobs_future,qualities_skills,adjective,KS3,Er/Sie ist ein motivierter/motivierte Anführer/in.,He/She is a motivated leader.,,,motiviert,,
organisiert,organized,DE,school_jobs_future,qualities_skills,adjective,KS3,Er/Sie ist sehr organisiert.,He/She is very organized.,,,organisiert,,
pünktlich,punctual,DE,school_jobs_future,qualities_skills,adjective,KS3,"Es ist wichtig, pünktlich zu sein.",It's important to be punctual.,,,pünktlich,,
verantwortungsbewusst,responsible,DE,school_jobs_future,qualities_skills,adjective,KS3,Er/Sie ist ein verantwortungsbewusster/verantwortungsbewusste Schüler/in.,He/She is a responsible student.,,,verantwortungsbewusst,,
sozial,sociable,DE,school_jobs_future,qualities_skills,adjective,KS3,Er/Sie ist sehr sozial.,He/She is very sociable.,,,sozial,,
die Fähigkeit,ability / skill,DE,school_jobs_future,qualities_skills,noun,KS3,Die Fähigkeit zu lesen ist wichtig.,The ability to read is important.,f,die,die Fähigkeit,,
die Kompetenz,competence / skill,DE,school_jobs_future,qualities_skills,noun,KS3,Er/Sie hat gute Computerkenntnisse.,He/She has good computer skills.,f,die,die Kompetenz,,
das Talent,talent,DE,school_jobs_future,qualities_skills,noun,KS3,Er/Sie hat viel Talent für Musik.,He/She has a lot of talent for music.,n,das,das Talent,,
das Wissen,knowledge,DE,school_jobs_future,qualities_skills,noun,KS3,Wissen ist Macht.,Knowledge is power.,n,das,das Wissen,,
die Erfahrung,experience,DE,school_jobs_future,qualities_skills,noun,KS3,Erfahrung ist in diesem Job entscheidend.,Experience is key in this job.,f,die,die Erfahrung,,
die Aktion,action,DE,school_jobs_future,learning_work_verbs,noun,KS3,Es ist Zeit für Aktion.,It's time for action.,f,die,die Aktion,,
handeln,to act,DE,school_jobs_future,learning_work_verbs,verb,KS3,Wir müssen verantwortungsbewusst handeln.,We must act responsibly.,,,handeln,,
sich bewerben,to apply (for a job),DE,school_jobs_future,learning_work_verbs,verb,KS3,Ich möchte mich um diese Stelle bewerben.,I want to apply for this position.,,,sich bewerben,,
lernen,to learn,DE,school_jobs_future,learning_work_verbs,verb,KS3,Ich lerne gern neue Dinge.,I like to learn new things.,,,lernen,,
helfen,to help,DE,school_jobs_future,learning_work_verbs,verb,KS3,"Ich versuche immer, meinen Mitschülern zu helfen.",I always try to help my classmates.,,,helfen,,
ändern,to change,DE,school_jobs_future,learning_work_verbs,verb,KS3,Möchtest du deinen Stundenplan ändern?,Do you want to change your schedule?,,,ändern,,
zusammenarbeiten,to collaborate,DE,school_jobs_future,learning_work_verbs,verb,KS3,Wir arbeiten gern an Projekten zusammen.,We like to collaborate on projects.,,,zusammenarbeiten,,
schaffen,to create,DE,school_jobs_future,learning_work_verbs,verb,KS3,Ich schaffe gern Geschichten.,I like to create stories.,,,schaffen,,
entwickeln,to develop,DE,school_jobs_future,learning_work_verbs,verb,KS3,Ich möchte meine Fähigkeiten entwickeln.,I want to develop my skills.,,,entwickeln,,
lehren,to teach,DE,school_jobs_future,learning_work_verbs,verb,KS3,Mein Lehrer lehrt gut.,My teacher teaches well.,,,lehren,,
studieren,to study,DE,school_jobs_future,learning_work_verbs,verb,KS3,Ich muss für die Prüfung studieren.,I have to study for the exam.,,,studieren,,
verbessern,to improve,DE,school_jobs_future,learning_work_verbs,verb,KS3,"Ich versuche immer, mich zu verbessern.",I always try to improve.,,,verbessern,,
durchhalten,to persevere,DE,school_jobs_future,learning_work_verbs,verb,KS3,"Man muss durchhalten, um Ziele zu erreichen.",One must persevere to achieve goals.,,,durchhalten,,
fortschreiten,to progress,DE,school_jobs_future,learning_work_verbs,verb,KS3,"Ich hoffe, in meinem Studium fortzuschreiten.",I hope to progress in my studies.,,,fortschreiten,,
lösen,to solve,DE,school_jobs_future,learning_work_verbs,verb,KS3,Ich löse gern Probleme.,I like to solve problems.,,,lösen,,
arbeiten,to work,DE,school_jobs_future,learning_work_verbs,verb,KS3,Ich arbeite hart an meinen Hausaufgaben.,I work hard on my homework.,,,arbeiten,,
viajar,to travel,ES,school_jobs_future,future_ambitions,verb,KS3,Quiero viajar por el mundo.,I want to travel the world.,,,viajar,,
la carrera,career / university degree course,ES,school_jobs_future,future_ambitions,noun,KS3,Elegir una carrera es importante.,Choosing a career is important.,f,la,la carrera,,
trabajar,to work,ES,school_jobs_future,future_ambitions,verb,KS3,Quiero trabajar en el extranjero.,I want to work abroad.,,,trabajar,,
aprender,to learn,ES,school_jobs_future,future_ambitions,verb,KS3,Quiero aprender muchos idiomas.,I want to learn many languages.,,,aprender,,
estudiar,to study,ES,school_jobs_future,future_ambitions,verb,KS3,Voy a estudiar mucho para mi futuro.,I'm going to study a lot for my future.,,,estudiar,,
ganar dinero,to earn money,ES,school_jobs_future,future_ambitions,verb_phrase,KS3,Quiero ganar dinero para comprar una casa.,I want to earn money to buy a house.,,,ganar dinero,,
tener éxito,to be successful / to succeed,ES,school_jobs_future,future_ambitions,verb_phrase,KS3,Espero tener éxito en mi trabajo.,I hope to be successful in my job.,,,tener éxito,,
ser feliz,to be happy,ES,school_jobs_future,future_ambitions,verb_phrase,KS3,Mi mayor ambición es ser feliz.,My biggest ambition is to be happy.,,,ser feliz,,
ser independiente,to be independent,ES,school_jobs_future,future_ambitions,verb_phrase,KS3,De mayor quiero ser independiente.,"When I'm older, I want to be independent.",,,ser independiente,,
formar una familia,to start a family,ES,school_jobs_future,future_ambitions,verb_phrase,KS3,Me gustaría formar una familia en el futuro.,I would like to start a family in the future.,,,formar una familia,,
vivir,to live,ES,school_jobs_future,future_ambitions,verb,KS3,Quiero vivir en un país cálido.,I want to live in a warm country.,,,vivir,,
la ambición,ambition,ES,school_jobs_future,future_ambitions,noun,KS3,Mi ambición es ser médico.,My ambition is to be a doctor.,f,la,la ambición,,
el sueño,dream,ES,school_jobs_future,future_ambitions,noun,KS3,Mi sueño es ser astronauta.,My dream is to be an astronaut.,m,el,el sueño,,
los planes,plans,ES,school_jobs_future,future_ambitions,noun,KS3,Tengo muchos planes para el futuro.,I have many plans for the future.,m,los,los planes,,
voyager,to travel,FR,school_jobs_future,future_ambitions,verb,KS3,Je veux voyager autour du monde.,I want to travel around the world.,,,voyager,,
la carrière,career,FR,school_jobs_future,future_ambitions,noun,KS3,Choisir une carrière est important.,Choosing a career is important.,f,la,la carrière,,
travailler,to work,FR,school_jobs_future,future_ambitions,verb,KS3,Je veux travailler à l'étranger.,I want to work abroad.,,,travailler,,
apprendre,to learn,FR,school_jobs_future,future_ambitions,verb,KS3,Je veux apprendre beaucoup de langues.,I want to learn many languages.,,,apprendre,,
étudier,to study,FR,school_jobs_future,future_ambitions,verb,KS3,Je vais beaucoup étudier pour mon avenir.,I'm going to study a lot for my future.,,,étudier,,
gagner de l'argent,to earn money,FR,school_jobs_future,future_ambitions,verb_phrase,KS3,Je veux gagner de l'argent pour acheter une maison.,I want to earn money to buy a house.,,,gagner de l'argent,,
réussir,to be successful / to succeed,FR,school_jobs_future,future_ambitions,verb,KS3,J'espère réussir dans mon travail.,I hope to be successful in my job.,,,réussir,,
être heureux,to be happy (male),FR,school_jobs_future,future_ambitions,verb_phrase,KS3,Ma plus grande ambition est d'être heureux.,My biggest ambition is to be happy.,,,être heureux,,
être heureuse,to be happy (female),FR,school_jobs_future,future_ambitions,verb_phrase,KS3,Ma plus grande ambition est d'être heureuse.,My biggest ambition is to be happy.,,,être heureuse,,
être indépendant,to be independent (male),FR,school_jobs_future,future_ambitions,verb_phrase,KS3,"Plus tard, je veux être indépendant.","When I'm older, I want to be independent.",,,être indépendant,,
être indépendante,to be independent (female),FR,school_jobs_future,future_ambitions,verb_phrase,KS3,"Plus tard, je veux être indépendante.","When I'm older, I want to be independent.",,,être indépendante,,
fonder une famille,to start a family,FR,school_jobs_future,future_ambitions,verb_phrase,KS3,J'aimerais fonder une famille à l'avenir.,I would like to start a family in the future.,,,fonder une famille,,
vivre,to live,FR,school_jobs_future,future_ambitions,verb,KS3,Je veux vivre dans un pays chaud.,I want to live in a warm country.,,,vivre,,
l'ambition,ambition,FR,school_jobs_future,future_ambitions,noun,KS3,Mon ambition est d'être médecin.,My ambition is to be a doctor.,f,l',l'ambition,,
le rêve,dream,FR,school_jobs_future,future_ambitions,noun,KS3,Mon rêve est d'être astronaute.,My dream is to be an astronaut.,m,le,le rêve,,
les projets,plans,FR,school_jobs_future,future_ambitions,noun,KS3,J'ai beaucoup de projets pour l'avenir.,I have many plans for the future.,m,les,les projets,,
reisen,to travel,DE,school_jobs_future,future_ambitions,verb,KS3,Ich möchte um die Welt reisen.,I want to travel the world.,,,reisen,,
die Karriere,career,DE,school_jobs_future,future_ambitions,noun,KS3,Eine Karriere zu wählen ist wichtig.,Choosing a career is important.,f,die,die Karriere,,
arbeiten,to work,DE,school_jobs_future,future_ambitions,verb,KS3,Ich möchte im Ausland arbeiten.,I want to work abroad.,,,arbeiten,,
lernen,to learn,DE,school_jobs_future,future_ambitions,verb,KS3,Ich möchte viele Sprachen lernen.,I want to learn many languages.,,,lernen,,
studieren,to study,DE,school_jobs_future,future_ambitions,verb,KS3,Ich werde viel für meine Zukunft studieren.,I'm going to study a lot for my future.,,,studieren,,
Geld verdienen,to earn money,DE,school_jobs_future,future_ambitions,verb_phrase,KS3,"Ich möchte Geld verdienen, um ein Haus zu kaufen.",I want to earn money to buy a house.,,,Geld verdienen,,
erfolgreich sein,to be successful,DE,school_jobs_future,future_ambitions,verb_phrase,KS3,"Ich hoffe, in meinem Job erfolgreich zu sein.",I hope to be successful in my job.,,,erfolgreich sein,,
glücklich sein,to be happy,DE,school_jobs_future,future_ambitions,verb_phrase,KS3,"Mein größtes Ziel ist es, glücklich zu sein.",My biggest ambition is to be happy.,,,glücklich sein,,
unabhängig sein,to be independent,DE,school_jobs_future,future_ambitions,verb_phrase,KS3,Später möchte ich unabhängig sein.,"When I'm older, I want to be independent.",,,unabhängig sein,,
eine Familie gründen,to start a family,DE,school_jobs_future,future_ambitions,verb_phrase,KS3,Ich möchte in Zukunft eine Familie gründen.,I would like to start a family in the future.,,,eine Familie gründen,,
leben,to live,DE,school_jobs_future,future_ambitions,verb,KS3,Ich möchte in einem warmen Land leben.,I want to live in a warm country.,,,leben,,
der Ehrgeiz,ambition,DE,school_jobs_future,future_ambitions,noun,KS3,"Mein Ehrgeiz ist es, Arzt zu werden.",My ambition is to be a doctor.,m,der,der Ehrgeiz,,
der Traum,dream,DE,school_jobs_future,future_ambitions,noun,KS3,"Mein Traum ist es, Astronaut zu sein.",My dream is to be an astronaut.,m,der,der Traum,,
die Pläne,plans,DE,school_jobs_future,future_ambitions,noun,KS3,Ich habe viele Pläne für die Zukunft.,I have many plans for the future.,f,die,die Pläne,,
alegre,"happy (m/f, common)",ES,identity_personal_life,feelings_emotions,adjective,KS3,Estoy muy alegre hoy.,I'm very happy today.,,,alegre,,
feliz,happy (m/f),ES,identity_personal_life,feelings_emotions,adjective,KS3,Me siento feliz.,I feel happy.,,,feliz,,
triste,sad (m/f),ES,identity_personal_life,feelings_emotions,adjective,KS3,Ella está triste.,She is sad.,,,triste,,
enfadado,angry (male),ES,identity_personal_life,feelings_emotions,adjective,KS3,Él está enfadado.,He is angry.,m,,enfadado,,
enfadada,angry (female),ES,identity_personal_life,feelings_emotions,adjective,KS3,Ella está enfadada con su hermano.,She is angry with her brother.,f,,enfadada,,
asustado,scared (male),ES,identity_personal_life,feelings_emotions,adjective,KS3,Él está asustado.,He is scared.,m,,asustado,,
asustada,scared (female),ES,identity_personal_life,feelings_emotions,adjective,KS3,Ella está asustada por la película.,She is scared by the movie.,f,,asustada,,
sorprendido,surprised (male),ES,identity_personal_life,feelings_emotions,adjective,KS3,Él está sorprendido.,He is surprised.,m,,sorprendido,,
sorprendida,surprised (female),ES,identity_personal_life,feelings_emotions,adjective,KS3,Ella está sorprendida con el regalo.,She is surprised with the gift.,f,,sorprendida,,
